filename,product_label,spec_label,category
vial-aod-9604.png,AOD-9604,10 MG · LYOPHILIZED,Metabolic
vial-hgh-frag-176-191.png,HGH Fragment 176-191,5 MG · LYOPHILIZED,Metabolic
vial-mots-c.png,MOTS-c,20 MG · LYOPHILIZED,Metabolic
vial-aicar.png,AICAR,100 MG · LYOPHILIZED,Metabolic
vial-5-amino-1mq.png,5-Amino-1MQ,10 MG · LYOPHILIZED,Metabolic
vial-bpc-157.png,BPC-157,5 MG · LYOPHILIZED,Regenerative
vial-tb-500.png,TB-500,5 MG · LYOPHILIZED,Regenerative
vial-bpc157-tb500.png,BPC-157 + TB-500,5+5 MG · LYOPHILIZED,Regenerative
vial-thymosin-alpha-1.png,Thymosin Alpha-1,10 MG · LYOPHILIZED,Regenerative
vial-ara-290.png,ARA-290,16 MG · LYOPHILIZED,Regenerative
vial-ipamorelin.png,Ipamorelin,5 MG · LYOPHILIZED,Regenerative
vial-ghrp-2.png,GHRP-2,10 MG · LYOPHILIZED,Regenerative
vial-ghrp-6.png,GHRP-6,10 MG · LYOPHILIZED,Regenerative
vial-hexarelin.png,Hexarelin,5 MG · LYOPHILIZED,Regenerative
vial-cjc-1295-nodac.png,CJC-1295 (no DAC),10 MG · LYOPHILIZED,Regenerative
vial-cjc-1295-dac.png,CJC-1295 (with DAC),5 MG · LYOPHILIZED,Regenerative
vial-cjc-1295-ipamorelin.png,CJC-1295 + Ipamorelin,5+5 MG · LYOPHILIZED,Regenerative
vial-mgf.png,MGF,2 MG · LYOPHILIZED,Regenerative
vial-peg-mgf.png,PEG-MGF,2 MG · LYOPHILIZED,Regenerative
vial-igf-1-lr3.png,IGF-1 LR3,1 MG · LYOPHILIZED,Regenerative
vial-ghk-cu.png,GHK-Cu,50 MG · LYOPHILIZED,Dermal
vial-ahk-cu.png,AHK-Cu,50 MG · LYOPHILIZED,Dermal
vial-pal-kttks.png,Pal-KTTKS,10 MG · LYOPHILIZED,Dermal
vial-snap-8.png,Snap-8,10 MG · LYOPHILIZED,Dermal
vial-nad-plus.png,NAD+,500 MG · LYOPHILIZED,Longevity
vial-glutathione.png,Glutathione,1500 MG · LYOPHILIZED,Longevity
vial-epithalon.png,Epithalon,10 MG · LYOPHILIZED,Longevity
vial-ss-31.png,SS-31,10 MG · LYOPHILIZED,Longevity
vial-foxo4-dri.png,FOXO4-DRI,10 MG · LYOPHILIZED,Longevity
vial-humanin.png,Humanin,10 MG · LYOPHILIZED,Longevity
vial-p21.png,P21,5 MG · LYOPHILIZED,Longevity
vial-pnc-27.png,PNC-27,5 MG · LYOPHILIZED,Longevity
vial-fst-344.png,Fst-344,1 MG · LYOPHILIZED,Longevity
vial-semax.png,Semax,10 MG · LYOPHILIZED,Neuro
vial-selank.png,Selank,10 MG · LYOPHILIZED,Neuro
vial-dsip.png,DSIP,10 MG · LYOPHILIZED,Neuro
vial-pinealon.png,Pinealon,10 MG · LYOPHILIZED,Neuro
vial-pe-22-28.png,PE-22-28,10 MG · LYOPHILIZED,Neuro
vial-adamax.png,Adamax,10 MG · LYOPHILIZED,Neuro
vial-glow.png,GLOW Blend,70 MG · LYOPHILIZED,Blends
vial-klow.png,KLOW Blend,80 MG · LYOPHILIZED,Blends
